x,y,species median
311.0,311.0,0.579257
312.0,312.0,4.935954E-4
313.0,313.0,0.61027884
314.0,314.0,0.66624194
315.0,315.0,0.35351422
316.0,316.0,0.015610874
317.0,317.0,0.18285239
318.0,318.0,0.6301769
319.0,319.0,0.024820566
320.0,320.0,0.0059310296
321.0,321.0,0.5273627
322.0,322.0,7.2317955E-4
323.0,323.0,2.3101778E-4
324.0,324.0,0.5888143
325.0,325.0,0.24409503
326.0,326.0,2.1839772E-7
327.0,327.0,0.5971218
328.0,328.0,0.5207863
329.0,329.0,0.6865783
330.0,330.0,0.42287025
331.0,331.0,0.26054367
332.0,332.0,0.43073818
333.0,333.0,0.002302198
334.0,334.0,0.37159738
335.0,335.0,0.4260576
336.0,336.0,0.021041809
337.0,337.0,0.61442053
338.0,338.0,0.19682972
339.0,339.0,0.001397465
340.0,340.0,0.16665544
341.0,341.0,3.3931576E-6
342.0,342.0,0.0026749433
343.0,343.0,0.15441296
344.0,344.0,0.37568718
345.0,345.0,0.118660845
346.0,346.0,0.6955359
347.0,347.0,0.5121201
348.0,348.0,0.0017956918
349.0,349.0,0.62570256
350.0,350.0,0.35151726
351.0,351.0,0.2969305
352.0,352.0,0.021177676
353.0,353.0,0.3350242
354.0,354.0,0.3444428
355.0,355.0,0.5758856
356.0,356.0,0.021447394
357.0,357.0,0.045433596
358.0,358.0,0.3966119
359.0,359.0,0.06883606
360.0,360.0,6.698214E-5
361.0,361.0,0.143268
362.0,362.0,0.5546163
363.0,363.0,0.68896836
364.0,364.0,0.15197507
365.0,365.0,0.4061915
366.0,366.0,0.005745232
367.0,367.0,0.059172135
368.0,368.0,7.180021E-4
369.0,369.0,0.6577386
370.0,370.0,5.840699E-4
371.0,371.0,8.6008775E-4
372.0,372.0,0.59625113
373.0,373.0,0.046513177
374.0,374.0,0.48647273
375.0,375.0,0.6899184
376.0,376.0,0.7040028
377.0,377.0,0.62792677
378.0,378.0,0.26046968
379.0,379.0,0.018962804
380.0,380.0,0.031253375
381.0,381.0,0.6266791
382.0,382.0,0.3843686
383.0,383.0,0.0013193915
384.0,384.0,0.063688956
385.0,385.0,0.06490389
386.0,386.0,0.13102487
387.0,387.0,0.015857954
388.0,388.0,0.102210775
389.0,389.0,0.008909999
390.0,390.0,0.015422575
391.0,391.0,0.1636671
392.0,392.0,0.0032763546
393.0,393.0,0.026957631
394.0,394.0,9.470339E-4
395.0,395.0,0.4771115
396.0,396.0,0.33088717
397.0,397.0,0.002234016
398.0,398.0,0.0048354
399.0,399.0,0.002482267
400.0,400.0,3.1541672E-4
401.0,401.0,0.013665497
402.0,402.0,0.06689845
403.0,403.0,0.60260004
404.0,404.0,0.037213966
405.0,405.0,0.016786836
406.0,406.0,0.4167341
407.0,407.0,0.6255195
408.0,408.0,3.5006583E-6
409.0,409.0,0.6859933
410.0,410.0,0.005415985
411.0,411.0,0.47713384
412.0,412.0,0.0021972153
413.0,413.0,7.355722E-7
414.0,414.0,0.058136288
415.0,415.0,0.3820668
416.0,416.0,0.18601145
417.0,417.0,0.26408625
418.0,418.0,0.019554945
419.0,419.0,3.7499447E-8
420.0,420.0,0.13914186
421.0,421.0,0.53492945
422.0,422.0,0.18060218
423.0,423.0,2.7094412E-4
424.0,424.0,0.21243508
425.0,425.0,0.03538317
426.0,426.0,0.3819761
427.0,427.0,0.11616023
428.0,428.0,0.3532709
429.0,429.0,0.47053394
430.0,430.0,0.37344202
431.0,431.0,0.0014864756
432.0,432.0,0.13630024
433.0,433.0,0.5986544
434.0,434.0,0.02085865
435.0,435.0,0.013586731
436.0,436.0,0.024528572
437.0,437.0,0.23883007
438.0,438.0,0.06295206
439.0,439.0,0.55433965
440.0,440.0,3.4158994E-4
441.0,441.0,0.030107632
442.0,442.0,0.45235947
443.0,443.0,0.4210431
444.0,444.0,0.038999073
445.0,445.0,0.021682706
446.0,446.0,0.11621789
447.0,447.0,0.6300893
448.0,448.0,1.1132676E-4
449.0,449.0,0.3005867
450.0,450.0,0.28751755
451.0,451.0,0.16994053
452.0,452.0,0.49108103
453.0,453.0,0.49851155
454.0,454.0,0.54477733
455.0,455.0,3.3681143E-5
456.0,456.0,0.59831554
457.0,457.0,0.3019397
458.0,458.0,0.37426862
459.0,459.0,0.0021257068
460.0,460.0,0.0022735603
461.0,461.0,0.29262802
462.0,462.0,1.940635E-5
463.0,463.0,4.469825E-4
464.0,464.0,0.6999654
465.0,465.0,0.62164277
466.0,466.0,0.017709116
467.0,467.0,0.012580683
468.0,468.0,0.58814263
469.0,469.0,0.21469848
470.0,470.0,0.5385431
471.0,471.0,0.0010592551
472.0,472.0,0.014190595
473.0,473.0,0.15578456
474.0,474.0,0.68894345
475.0,475.0,0.5172585
476.0,476.0,0.16008946
477.0,477.0,0.39145812
478.0,478.0,0.01086582
479.0,479.0,0.0012704491
480.0,480.0,0.03587839
481.0,481.0,0.10062944
482.0,482.0,0.02385626
483.0,483.0,0.4340716
484.0,484.0,0.31859034
485.0,485.0,0.06973455
486.0,486.0,0.5913413
487.0,487.0,0.0036457262
488.0,488.0,0.6021929
489.0,489.0,0.026141195
490.0,490.0,0.32366225
491.0,491.0,0.52839446
492.0,492.0,0.29352432
493.0,493.0,0.2427857
494.0,494.0,0.3715117
495.0,495.0,0.035826623
496.0,496.0,0.047697052
497.0,497.0,0.20483418
498.0,498.0,5.909441E-4
499.0,499.0,0.058548987
500.0,500.0,0.6531695
501.0,501.0,9.789692E-4
502.0,502.0,0.3893144
503.0,503.0,0.0013713347
504.0,504.0,0.048929673
505.0,505.0,0.3560741
506.0,506.0,9.818597E-4
507.0,507.0,1.0773063E-5
508.0,508.0,0.51971644
509.0,509.0,0.35809758
510.0,510.0,0.46493307
511.0,511.0,0.44226086
512.0,512.0,0.246663
513.0,513.0,0.025330802
514.0,514.0,0.0013451199
515.0,515.0,0.23056647
516.0,516.0,0.56024945
517.0,517.0,0.088851616
518.0,518.0,0.20617436
519.0,519.0,0.09384871
520.0,520.0,0.061213013
521.0,521.0,6.2805198E-6
522.0,522.0,0.19467612
523.0,523.0,0.41049585
524.0,524.0,0.6075811
525.0,525.0,8.435667E-4
526.0,526.0,0.010374504
527.0,527.0,0.1539708
528.0,528.0,0.013421225
529.0,529.0,0.4703744
530.0,530.0,5.636997E-5
531.0,531.0,0.06559125
532.0,532.0,0.33465824
533.0,533.0,0.18926398
534.0,534.0,0.426425
535.0,535.0,0.26618412
536.0,536.0,0.009112984
537.0,537.0,5.0583924E-7
538.0,538.0,2.633279E-4
539.0,539.0,0.0065231724
540.0,540.0,0.55837804
541.0,541.0,0.3237642
542.0,542.0,0.5568873
543.0,543.0,0.6662939
544.0,544.0,0.12208411
545.0,545.0,0.012078557
546.0,546.0,0.3757288
547.0,547.0,0.001499962
548.0,548.0,0.7129953
549.0,549.0,0.67805994
550.0,550.0,0.1750428
551.0,551.0,0.21097589
552.0,552.0,0.005697902
553.0,553.0,0.173306
554.0,554.0,0.02141328
555.0,555.0,0.012270441
556.0,556.0,0.0057676313
557.0,557.0,0.021197794
558.0,558.0,0.52171254
559.0,559.0,0.030625518
560.0,560.0,0.0055783205
561.0,561.0,0.16984977
562.0,562.0,0.43478996
563.0,563.0,0.0035908502
564.0,564.0,6.284689E-4
565.0,565.0,0.0011689953
566.0,566.0,0.5161303
567.0,567.0,0.25370336
568.0,568.0,0.0015825176
569.0,569.0,0.12619609
570.0,570.0,0.37222445
571.0,571.0,9.6096875E-5
572.0,572.0,0.097637795
573.0,573.0,0.19184278
574.0,574.0,0.02837483
575.0,575.0,0.016366456
576.0,576.0,0.13212328
577.0,577.0,0.0032194545
578.0,578.0,0.25718877
579.0,579.0,0.027166253
580.0,580.0,1.2978173E-12
581.0,581.0,0.688549
582.0,582.0,0.0023509534
583.0,583.0,0.58083504
584.0,584.0,0.33176354
585.0,585.0,0.02323719
586.0,586.0,0.0028074621
587.0,587.0,0.04790758
588.0,588.0,0.44068912
589.0,589.0,0.089651436
590.0,590.0,0.64540803
591.0,591.0,0.0022238716
592.0,592.0,4.4610997E-4
593.0,593.0,0.21590404
594.0,594.0,5.320008E-4
595.0,595.0,5.2173693E-8
596.0,596.0,0.3344459
597.0,597.0,0.26026887
598.0,598.0,0.040723257
599.0,599.0,0.44911432
600.0,600.0,0.32378754
601.0,601.0,0.21922322
602.0,602.0,0.18449198
603.0,603.0,0.036086068
604.0,604.0,2.317906E-4
605.0,605.0,0.11750305
606.0,606.0,7.7339174E-4
607.0,607.0,0.27671248
608.0,608.0,0.0019181112
609.0,609.0,0.06422194
610.0,610.0,0.05673966
611.0,611.0,0.095776245
612.0,612.0,3.8065232E-4
613.0,613.0,0.044016607
614.0,614.0,0.0019222711
615.0,615.0,0.002626363
616.0,616.0,0.003847982
617.0,617.0,2.2663327E-4
618.0,618.0,0.028410016
619.0,619.0,0.05802072
620.0,620.0,6.790652E-5
621.0,621.0,0.34209302
622.0,622.0,0.67690367
623.0,623.0,0.0016909972
624.0,624.0,0.16964582
625.0,625.0,5.3182663E-5
626.0,626.0,0.17035505
627.0,627.0,0.010942293
628.0,628.0,1.4157884E-4
629.0,629.0,0.32154036
630.0,630.0,1.5489665E-4
631.0,631.0,0.535093
632.0,632.0,0.009655681
633.0,633.0,0.002692079
634.0,634.0,0.036253337
635.0,635.0,0.2889495
636.0,636.0,0.5904458
637.0,637.0,0.0030290864
638.0,638.0,0.22890209
639.0,639.0,0.016847176
640.0,640.0,2.3858457E-4
641.0,641.0,0.003693371
642.0,642.0,0.0639762
643.0,643.0,0.75379986
644.0,644.0,0.2722347
645.0,645.0,0.014898574
646.0,646.0,4.4471988E-5
647.0,647.0,0.59193444
648.0,648.0,0.58006537
649.0,649.0,0.0021927778
650.0,650.0,0.053217046
651.0,651.0,0.17107436
652.0,652.0,0.43849698
653.0,653.0,0.042212714
654.0,654.0,0.0012682052
655.0,655.0,0.3397394
656.0,656.0,0.5760721
657.0,657.0,0.016413834
658.0,658.0,0.2100187
659.0,659.0,0.010393001
660.0,660.0,0.15556479
661.0,661.0,1.8970693E-5
662.0,662.0,0.13125709
663.0,663.0,0.66962403
664.0,664.0,0.4273847
665.0,665.0,0.16639484
666.0,666.0,0.0077972226
667.0,667.0,0.0014155414
668.0,668.0,0.62373686
669.0,669.0,0.0019990583
670.0,670.0,0.10255152
671.0,671.0,0.12771337
672.0,672.0,0.14831653
673.0,673.0,1.5708318E-5
674.0,674.0,0.4558978
675.0,675.0,0.009331672
676.0,676.0,0.27185315
677.0,677.0,0.5671051
678.0,678.0,0.018677717
679.0,679.0,0.09593589
680.0,680.0,0.060684133
681.0,681.0,0.57787323
682.0,682.0,0.070183106
683.0,683.0,0.6146532
684.0,684.0,0.64488
685.0,685.0,0.10125183
686.0,686.0,1.4455092E-6
687.0,687.0,4.8197535E-4
688.0,688.0,0.05745554
689.0,689.0,3.612843E-4
690.0,690.0,0.002126416
691.0,691.0,0.46236315
692.0,692.0,0.3393057
693.0,693.0,2.2600678E-5
694.0,694.0,0.404948
695.0,695.0,0.53083915
696.0,696.0,0.6359461
697.0,697.0,0.6307622
698.0,698.0,0.3363822
699.0,699.0,0.18296869
700.0,700.0,0.43033454
701.0,701.0,0.66148627
702.0,702.0,0.6228047
703.0,703.0,0.49566874
704.0,704.0,2.03832E-5
705.0,705.0,0.13470966
706.0,706.0,0.63606477
707.0,707.0,0.6093346
708.0,708.0,0.08749689
709.0,709.0,9.450517E-7
710.0,710.0,0.22887892
711.0,711.0,0.31293407
712.0,712.0,0.6233135
713.0,713.0,0.3557696
714.0,714.0,0.6990797
715.0,715.0,0.5331247
716.0,716.0,0.007710385
717.0,717.0,0.08802407
718.0,718.0,0.58757126
719.0,719.0,0.11893774
720.0,720.0,0.002713939
721.0,721.0,0.0047943667
722.0,722.0,0.100024536
723.0,723.0,0.28982946
724.0,724.0,0.12165344
725.0,725.0,0.082574375
726.0,726.0,0.59163594
727.0,727.0,0.6590774
728.0,728.0,5.660648E-5
729.0,729.0,0.39489183
730.0,730.0,0.11008981
731.0,731.0,0.37940907
732.0,732.0,0.6237786
733.0,733.0,0.5090833
734.0,734.0,0.0032848213
735.0,735.0,0.2642561
736.0,736.0,0.107744314
737.0,737.0,0.5760604
738.0,738.0,0.009391404
739.0,739.0,6.778832E-5
740.0,740.0,0.1899291
741.0,741.0,0.0058814045
742.0,742.0,0.0010907446
743.0,743.0,0.12711865
744.0,744.0,0.047430366
745.0,745.0,0.12290032
746.0,746.0,0.60996485
747.0,747.0,0.0031776323
748.0,748.0,0.57603294
749.0,749.0,0.37137604
750.0,750.0,0.014286342
751.0,751.0,7.367677E-4
752.0,752.0,0.00423425
753.0,753.0,0.7074648
754.0,754.0,0.6371176
755.0,755.0,0.0025388529
756.0,756.0,1.9428023E-4
757.0,757.0,0.30739996
758.0,758.0,0.2766714
759.0,759.0,0.57776076
760.0,760.0,0.0040031276
761.0,761.0,0.37894073
762.0,762.0,0.019281896
763.0,763.0,0.22161193
764.0,764.0,0.56285715
765.0,765.0,0.4694632
766.0,766.0,9.342137E-4
767.0,767.0,0.15564632
768.0,768.0,0.53172284
769.0,769.0,2.9936582E-5
770.0,770.0,0.16918677
771.0,771.0,9.939833E-10
772.0,772.0,0.6152707
773.0,773.0,0.024134453
774.0,774.0,0.015438522
775.0,775.0,0.01924939
776.0,776.0,0.6172079
777.0,777.0,0.199085
778.0,778.0,0.42855737
779.0,779.0,0.4811785
780.0,780.0,0.008207238
781.0,781.0,0.6331576
782.0,782.0,0.0018772883
783.0,783.0,0.024353996
784.0,784.0,0.2725779
785.0,785.0,0.6387705
786.0,786.0,0.02237123
787.0,787.0,0.001746312
788.0,788.0,0.6442653
789.0,789.0,0.023946874
790.0,790.0,0.6410114
791.0,791.0,6.7540914E-6
792.0,792.0,0.17731096
793.0,793.0,0.67834777
794.0,794.0,0.651151
795.0,795.0,0.0026506996
796.0,796.0,0.02698083
797.0,797.0,0.100171685
798.0,798.0,0.003872511
799.0,799.0,0.5403082
800.0,800.0,0.060215168
801.0,801.0,1.6962753E-6
802.0,802.0,0.042550623
803.0,803.0,0.016291758
804.0,804.0,3.83003E-4
805.0,805.0,0.50416756
806.0,806.0,0.009294954
807.0,807.0,0.3443322
808.0,808.0,0.5931553
809.0,809.0,0.33088484
810.0,810.0,0.3982644
811.0,811.0,0.50576633
812.0,812.0,0.60234785
813.0,813.0,0.015934767
814.0,814.0,0.008166738
815.0,815.0,3.5758995E-4
816.0,816.0,6.972915E-4
817.0,817.0,0.42682093
818.0,818.0,1.9206815E-4
819.0,819.0,0.020317674
820.0,820.0,0.009812571
821.0,821.0,0.24161096
822.0,822.0,0.40585867
823.0,823.0,0.0034885705
824.0,824.0,0.046251003
825.0,825.0,0.012109292
826.0,826.0,0.06383859
827.0,827.0,0.3123528
828.0,828.0,0.67376363
829.0,829.0,3.4448E-5
830.0,830.0,0.46937153
831.0,831.0,0.050471254
832.0,832.0,0.016236931
833.0,833.0,0.004688969
834.0,834.0,0.025483506
835.0,835.0,0.004060325
836.0,836.0,0.66320145
837.0,837.0,0.012465309
838.0,838.0,4.952622E-4
839.0,839.0,1.866202E-4
840.0,840.0,0.02875991
841.0,841.0,0.2765156
842.0,842.0,0.06383558
843.0,843.0,0.047415804
844.0,844.0,0.63752
845.0,845.0,0.13364199
846.0,846.0,0.40484172
847.0,847.0,0.018059274
848.0,848.0,0.22296388
849.0,849.0,7.556036E-4
850.0,850.0,0.14449026
851.0,851.0,0.09206389
852.0,852.0,6.007567E-4
853.0,853.0,8.629208E-6
854.0,854.0,0.10663272
855.0,855.0,0.14247113
856.0,856.0,1.7761845E-4
857.0,857.0,0.012812697
858.0,858.0,0.5822285
859.0,859.0,0.40329084
860.0,860.0,0.7114676
861.0,861.0,0.30337855
862.0,862.0,1.923168E-5
863.0,863.0,2.9023097E-6
864.0,864.0,0.05401801
865.0,865.0,2.8116057E-5
866.0,866.0,0.11169363
867.0,867.0,0.33297342
868.0,868.0,1.4445594E-8
869.0,869.0,0.11441667
870.0,870.0,0.121040806
871.0,871.0,0.044832584
872.0,872.0,0.011590085
873.0,873.0,6.580759E-4
874.0,874.0,0.20189555
875.0,875.0,0.5339588
876.0,876.0,0.011909403
877.0,877.0,0.02330503
878.0,878.0,0.013744062
879.0,879.0,0.056124788
880.0,880.0,0.23504645
881.0,881.0,0.4054825
882.0,882.0,7.9346925E-4
883.0,883.0,0.3869874
884.0,884.0,6.8800887E-7
885.0,885.0,0.0037706634
886.0,886.0,0.7100217
887.0,887.0,0.42033663
888.0,888.0,0.00199536
889.0,889.0,0.009086456
890.0,890.0,0.2357097
891.0,891.0,0.009481977
892.0,892.0,0.26193222
893.0,893.0,0.20348951
894.0,894.0,2.2022052E-6
895.0,895.0,9.863146E-5
896.0,896.0,0.0762827
897.0,897.0,7.563571E-6
898.0,898.0,0.0011299326
899.0,899.0,1.453804E-7
900.0,900.0,0.5564521
901.0,901.0,0.21628095
902.0,902.0,0.25874925
903.0,903.0,1.492354E-7
904.0,904.0,0.49988148
905.0,905.0,6.206971E-4
906.0,906.0,0.06467781
907.0,907.0,0.58795077
908.0,908.0,0.5826007
909.0,909.0,0.0019005658
910.0,910.0,0.029310398
911.0,911.0,0.40446
912.0,912.0,0.69144255
913.0,913.0,0.038708977
914.0,914.0,5.0547643E-4
915.0,915.0,0.018501759
916.0,916.0,0.6250351
917.0,917.0,0.07002912
918.0,918.0,0.22522278
919.0,919.0,0.0018763905
920.0,920.0,0.01577378
921.0,921.0,0.04744333
922.0,922.0,9.504695E-4
923.0,923.0,0.6414214
924.0,924.0,4.570398E-5
925.0,925.0,0.32049727
926.0,926.0,0.010232773
927.0,927.0,0.033154134
928.0,928.0,0.002511452
929.0,929.0,0.087063424
930.0,930.0,0.0014511832
931.0,931.0,0.28754058
932.0,932.0,0.053227942
933.0,933.0,0.03478866
934.0,934.0,0.41029745
935.0,935.0,1.7138631E-5
936.0,936.0,0.23311906
937.0,937.0,0.0022206637
938.0,938.0,4.0567422E-4
939.0,939.0,0.016805295
940.0,940.0,1.211925E-5
941.0,941.0,0.027498854
942.0,942.0,0.63922817
943.0,943.0,0.025294378
944.0,944.0,2.5737235E-8
945.0,945.0,0.0011662588
946.0,946.0,3.8305097E-4
947.0,947.0,0.17590544
948.0,948.0,2.6086747E-4
949.0,949.0,8.5195946E-4
950.0,950.0,0.07721428
951.0,951.0,0.009412824
952.0,952.0,0.15241684
953.0,953.0,1.4535323E-6
954.0,954.0,0.49900335
955.0,955.0,0.5009544
956.0,956.0,1.321948E-5
957.0,957.0,0.4207161
958.0,958.0,0.003825877
959.0,959.0,0.45502228
960.0,960.0,0.4501405
961.0,961.0,0.26070637
962.0,962.0,0.19325559
963.0,963.0,0.14141083
964.0,964.0,4.2518414E-7
965.0,965.0,0.24449071
966.0,966.0,0.4637358
