x,y,species_3 logistic values
1.0,1.0,0.022467064
2.0,2.0,0.49727657
3.0,3.0,0.13143717
4.0,4.0,0.0057249432
5.0,5.0,0.5755011
6.0,6.0,1.14368646E-4
7.0,7.0,0.002733403
8.0,8.0,0.44581416
9.0,9.0,0.031305835
10.0,10.0,0.094446324
11.0,11.0,0.27139586
12.0,12.0,0.4279351
13.0,13.0,0.4643669
14.0,14.0,0.54943484
15.0,15.0,0.022518843
16.0,16.0,0.003673912
17.0,17.0,0.006523911
18.0,18.0,0.003228706
19.0,19.0,0.34061128
20.0,20.0,3.0611924E-4
21.0,21.0,0.08716207
22.0,22.0,0.0029105968
23.0,23.0,0.0012457096
24.0,24.0,0.5716327
25.0,25.0,0.0032998095
26.0,26.0,0.33048505
27.0,27.0,0.009172397
28.0,28.0,0.0021886388
29.0,29.0,5.7525287E-4
30.0,30.0,6.1482715E-4
31.0,31.0,0.018317996
32.0,32.0,0.019772742
33.0,33.0,1.2052508E-8
34.0,34.0,0.68422586
35.0,35.0,0.25020742
36.0,36.0,1.5515352E-4
37.0,37.0,0.5629028
38.0,38.0,0.13403828
39.0,39.0,0.2935271
40.0,40.0,0.053649507
41.0,41.0,0.06477425
42.0,42.0,0.03396203
43.0,43.0,0.13653527
44.0,44.0,9.39077E-4
45.0,45.0,0.15186991
46.0,46.0,0.3324171
47.0,47.0,0.08628835
48.0,48.0,0.5822284
49.0,49.0,0.07168675
50.0,50.0,0.0017204799
51.0,51.0,5.333176E-4
52.0,52.0,0.0010747788
53.0,53.0,0.05994294
54.0,54.0,0.5950813
55.0,55.0,0.40924773
56.0,56.0,0.4848948
57.0,57.0,0.5427786
58.0,58.0,0.020853251
59.0,59.0,0.009680681
60.0,60.0,0.4054093
61.0,61.0,0.612273
62.0,62.0,0.5832408
63.0,63.0,0.1501691
64.0,64.0,0.080319844
65.0,65.0,0.027941031
66.0,66.0,0.0019335538
67.0,67.0,0.17940332
68.0,68.0,1.12297355E-4
69.0,69.0,0.049547095
70.0,70.0,0.52278
71.0,71.0,0.034397837
72.0,72.0,0.5958986
73.0,73.0,0.05066853
74.0,74.0,2.7942951E-6
75.0,75.0,1.6570733E-4
76.0,76.0,0.41726056
77.0,77.0,0.4651597
78.0,78.0,0.29570693
79.0,79.0,0.0025162261
80.0,80.0,0.13830678
81.0,81.0,0.0672555
82.0,82.0,0.0034666373
83.0,83.0,0.21972053
84.0,84.0,0.4608077
85.0,85.0,0.60046035
86.0,86.0,1.0738515E-6
87.0,87.0,0.6362381
88.0,88.0,0.65024424
89.0,89.0,0.6033001
90.0,90.0,0.2263574
91.0,91.0,0.6478076
92.0,92.0,0.011522999
93.0,93.0,1.0645007E-4
94.0,94.0,0.011978047
95.0,95.0,0.4923016
96.0,96.0,0.63336915
97.0,97.0,0.0017836321
98.0,98.0,0.46597597
99.0,99.0,5.8299646E-4
100.0,100.0,5.164695E-4
101.0,101.0,3.8478625E-4
102.0,102.0,0.0013056028
103.0,103.0,0.6282898
104.0,104.0,0.0224327
105.0,105.0,2.8927383E-7
106.0,106.0,0.31821153
107.0,107.0,0.46879748
108.0,108.0,0.008367686
109.0,109.0,0.55054194
110.0,110.0,0.040916696
111.0,111.0,0.379727
112.0,112.0,0.0050829924
113.0,113.0,0.002163051
114.0,114.0,0.37545404
115.0,115.0,3.4893755E-4
116.0,116.0,0.18157868
117.0,117.0,0.013498186
118.0,118.0,0.15460958
119.0,119.0,0.33754697
120.0,120.0,6.000693E-5
121.0,121.0,0.5432101
122.0,122.0,8.711709E-6
123.0,123.0,0.27460262
124.0,124.0,0.1324863
125.0,125.0,0.089294955
126.0,126.0,1.00579855E-4
127.0,127.0,0.33925813
128.0,128.0,0.3341962
129.0,129.0,0.007728694
130.0,130.0,0.1058249
131.0,131.0,0.261635
132.0,132.0,0.5267685
133.0,133.0,0.08276778
134.0,134.0,0.20417486
135.0,135.0,0.021171954
136.0,136.0,0.029050231
137.0,137.0,0.0011695047
138.0,138.0,8.149645E-4
139.0,139.0,0.0037188148
140.0,140.0,0.02151578
141.0,141.0,0.46176064
142.0,142.0,0.12886658
143.0,143.0,0.049234547
144.0,144.0,0.11641373
145.0,145.0,0.0015347215
146.0,146.0,0.027175035
147.0,147.0,0.1623603
148.0,148.0,0.0019768982
149.0,149.0,0.0139942495
150.0,150.0,0.028452033
151.0,151.0,0.0017497062
152.0,152.0,0.2934624
153.0,153.0,0.006088637
154.0,154.0,0.005964187
155.0,155.0,0.021632843
156.0,156.0,0.07834361
157.0,157.0,4.3146225E-5
